date,vix_open,vix_high,vix_low,vix_close,vix_prev_close,vix_change,vix_pct_change,nifty_open,nifty_high,nifty_low,nifty_close,nifty_prev_close,nifty_change,nifty_pct_change,vix_sma_5,vix_sma_10,vix_sma_20,vix_sma_50,vix_ema_9,vix_ema_21,vix_bb_upper,vix_bb_mid,vix_bb_lower,vix_bb_width,vix_bb_pct_b,vix_atr14,vix_atr14_pct,vix_rsi14,vix_zscore20,vix_roc_1,vix_roc_5,vix_roc_10,vix_roc_20,vix_intraday_range_pts,vix_intraday_range_pct,vix_vol_of_vol10,regime,regime_num,regime_streak,vix_hist_pct,nifty_sma_20,nifty_sma_50,nifty_daily_return,nifty_vol20,vix_nifty_corr20,vix_nifty_ratio,nifty_drawdown_pct
2026-06-22,12.9700,13.5100,12.6500,12.8400,12.9700,-0.1300,-1.0023,24106.6000,24168.0500,24073.1500,24102.9000,24013.1000,89.8000,0.3740,13.0060,14.0920,,,13.7711,,,,,,,1.9137,14.9045,12.0700,,-1.0023,-10.5226,-24.6036,,0.8600,6.6978,3.4699,NORMAL,2,7,25.6000,,,0.3740,,-0.9426,0.5327,-0.2694
2026-06-23,12.8400,14.2400,12.4300,13.9400,12.8400,1.1000,8.5670,24071.3000,24135.5000,23784.9500,23824.1000,24102.9000,-278.8000,-1.1567,13.1220,13.9280,,,13.8049,,,,,,,1.9063,13.6752,21.1100,,8.5670,4.3413,-10.5263,,1.8100,12.9842,4.3881,NORMAL,2,8,36.4000,,,-1.1567,,-0.9439,0.5851,-1.4230
2026-06-24,13.9400,14.3000,13.3000,13.3900,13.9400,-0.5500,-3.9455,23795.8000,24090.0500,23789.2500,24021.6500,23824.1000,197.5500,0.8292,13.1620,13.7040,,,13.7219,,,,,,,1.8416,13.7535,20.0000,,-3.9455,1.5163,-14.3314,,1.0000,7.4683,4.4501,NORMAL,2,9,30.9000,,,0.8292,,-0.9471,0.5574,-0.6056
2026-06-25,13.3900,13.3900,12.4300,13.0500,13.3900,-0.3400,-2.5392,24125.8500,24261.6000,24039.0000,24056.0000,24021.6500,34.3500,0.1430,13.2380,13.4480,,,13.5875,,,,,,,1.7786,13.6293,19.3300,,-2.5392,2.9992,-16.3997,,0.9600,7.3563,4.4360,NORMAL,2,10,27.5000,,,0.1430,,-0.9508,0.5425,-0.4634
2026-06-29,13.0500,14.0700,12.9200,13.6100,13.0500,0.5600,4.2912,24061.7500,24120.0000,23924.5500,23946.2500,24056.0000,-109.7500,-0.4562,13.3660,13.3370,14.5900,,13.5920,,17.4017,14.5900,11.7783,0.3854,0.3257,1.7337,12.7385,23.8800,-0.6971,4.2912,4.9345,-7.5408,,1.1500,8.4497,4.5554,NORMAL,2,11,33.1000,23674.0200,,-0.4562,,-0.9521,0.5684,-0.9175
2026-06-30,13.6100,13.9700,13.1500,13.6000,13.6100,-0.0100,-0.0735,24032.0500,24035.5500,23829.2000,23865.7500,23946.2500,-80.5000,-0.3362,13.5180,13.2620,14.4430,,13.5936,14.3082,17.1301,14.4430,11.7559,0.3721,0.3431,1.6685,12.2680,23.8600,-0.6274,-0.0735,5.9190,-5.2265,-17.7751,0.8200,6.0294,4.5119,NORMAL,2,12,33.0000,23698.1700,,-0.3362,11.5078,-0.9594,0.5699,-1.2506
2026-07-01,13.6000,14.0700,13.1500,13.2400,13.6000,-0.3600,-2.6471,23897.6500,24049.9000,23895.1000,24005.8500,23865.7500,140.1000,0.5870,13.3780,13.2500,14.3370,,13.5229,14.2111,17.0390,14.3370,11.6350,0.3769,0.2970,1.6150,12.1978,22.9000,-0.8120,-2.6471,-5.0215,-0.8982,-13.8021,0.9200,6.9486,4.0084,NORMAL,2,13,29.4000,23724.2900,,0.5870,11.5793,-0.9601,0.5515,-0.6709
2026-07-02,13.2400,13.2900,12.1900,12.2900,13.2400,-0.9500,-7.1752,24062.2000,24194.5500,24058.8000,24175.7000,24005.8500,169.8500,0.7075,13.1580,13.1600,14.1375,,13.2763,14.0365,16.8246,14.1375,11.4504,0.3801,0.1562,1.5782,12.8414,20.5400,-1.3751,-7.1752,-8.2151,-6.8234,-24.5086,1.1000,8.9504,4.6038,NORMAL,2,14,20.6000,23762.7900,,0.7075,11.6378,-0.9678,0.5084,0.0000
2026-07-03,12.2900,12.2900,11.6500,11.8000,12.2900,-0.4900,-3.9870,24375.6500,24378.1500,24252.3500,24270.8500,24175.7000,95.1500,0.3936,12.9080,13.0730,13.9330,,12.9811,13.8332,16.6804,13.9330,11.1856,0.3944,0.1118,1.5112,12.8067,19.4300,-1.5527,-3.9870,-9.5785,-6.8666,-25.7395,0.6400,5.4237,4.6074,COMPLACENT,1,1,16.4000,23805.5100,,0.3936,11.6564,-0.9699,0.4862,0.0000
2026-07-06,11.8000,12.3600,11.7000,11.8200,11.8000,0.0200,0.1695,24306.8500,24458.6500,24287.1000,24430.3500,24270.8500,159.5000,0.6572,12.5500,12.9580,13.7345,,12.7488,13.6501,16.4907,13.7345,10.9783,0.4013,0.1527,1.4504,12.2707,19.6200,-1.3893,0.1695,-13.1521,-8.8666,-25.1425,0.6600,5.5838,4.5005,COMPLACENT,1,2,16.6000,23858.6900,,0.6572,11.6747,-0.9714,0.4838,0.0000
